,Product Url,Product Name,Product Price,Ratings,Reviews
36,https://amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BLVQ9NTD/ref=sr_1_31?crid=2M096C61O4MLT&keywords=bags&qid=1690108722&sprefix=ba%2Caps%2C283&sr=8-31,Half Moon Strike 35L Unisex Spacious School/Laptop/College/Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets,699,3.8,574
37,https://amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1690108722&sprefix=ba%2Caps%2C283&sr=8-32,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,399",4.2,508
38,https://amazon.in/Arctic-Fox-Backpack-Charging-Laptop/dp/B089QBD333/ref=sr_1_33?crid=2M096C61O4MLT&keywords=bags&qid=1690108722&sprefix=ba%2Caps%2C283&sr=8-33,Arctic Fox Slope Anti Theft 23 L Backpack with USB Charging Port 15 Inch Laptop Backpack (Marble Black),"1,439",4.5,"4,024"
39,https://amazon.in/School-school-partition-Collage-Backpack/dp/B09NNYCQ1Q/ref=sr_1_34?crid=2M096C61O4MLT&keywords=bags&qid=1690108722&sprefix=ba%2Caps%2C283&sr=8-34,URBAN CARRIER School Bag For girls school bags for boys Class 5-10 Large 4 partition 45 L Laptop Collage Office Travel Unisex Backpack,431,3.5,946
40,https://amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BHX7GY16/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1690108722&sprefix=ba%2Caps%2C283&sr=8-35,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9,"3,218"
41,https://amazon.in/ADISA-Casual-Backpack-College-BP046-NAV_Navy/dp/B0BX3QFVSM/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1690108722&sprefix=ba%2Caps%2C283&sr=8-36,ADISA 31 Ltrs Casual Backpack School College Bag Pack,399,3.8,124
42,https://amazon.in/sspa/click?ie=UTF8&spc=MTozNTA0MzM0NjI3MTQ1MzEzOjE2OTAxMDg3MjI6c3BfYnRmOjIwMTU2MTY1OTg5NDk4OjowOjo&url=%2FSwiss-Military-Travel-Backpack-Hardshell%2Fdp%2FB0C3MG4MJG%2Fref%3Dsr_1_37_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690108722%26sprefix%3Dba%252Caps%252C283%26sr%3D8-37-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"Swiss Military Hard Shell Travel Backpack UFO, Alien Series Dimond Cut ABS Hardshell upto 15.6 Inch Laptop","3,899",3.5,6
43,https://amazon.in/sspa/click?ie=UTF8&spc=MTozNTA0MzM0NjI3MTQ1MzEzOjE2OTAxMDg3MjI6c3BfYnRmOjIwMTYzMDU5ODA0MTk4OjowOjo&url=%2FWALKENT-Multifunction-Duo-Marketing-Waterproof%2Fdp%2FB0BJ986NTC%2Fref%3Dsr_1_38_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690108722%26sprefix%3Dba%252Caps%252C283%26sr%3D8-38-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"WALKENT Premium 2 in 1 Multifunction Travel Backpack & Laptop Bag Ideal for Sales & Marketing Jobs - Waterproof, Cushioned Strap, Multiple Carrying Positions for Men - (Model Duo, 35 Ltrs)","3,029",4.6,19
44,https://amazon.in/sspa/click?ie=UTF8&spc=MTo2OTQ4ODE5NjI4ODkwNjQ5OjE2OTAxMDg3MjM6c3BfYXRmX25leHQ6MzAwMDEzMzQyOTgzODMyOjowOjo&url=%2FPolice-Polyester-laptop-casual-backpack%2Fdp%2FB09CQ5T3LN%2Fref%3Dsr_1_33_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690108723%26sprefix%3Dba%252Caps%252C283%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,"1,399",4.1,"5,732"
45,https://amazon.in/sspa/click?ie=UTF8&spc=MTo2OTQ4ODE5NjI4ODkwNjQ5OjE2OTAxMDg3MjM6c3BfYXRmX25leHQ6MjAxNjcxNTQ5ODEyOTg6OjA6Og&url=%2FEUME-Tourismo-Backpack-Resistance-15-6-inch%2Fdp%2FB0B4JQSMD5%2Fref%3Dsr_1_34_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690108723%26sprefix%3Dba%252Caps%252C283%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,EUME Tourismo 36L Laptop Backpack Bag with 2 Large Compartment for Work Office & Business Travel for Men & Women | Water Resistance | Fit Up to 16 Inch Laptop,"2,499",4.4,7
